,date,Gpp,PsnNet
0,2001-01-01,0.0062377410468319565,0.0055344352617079885
1,2001-01-09,0.007166115702479339,0.006423140495867769
2,2001-01-17,0.007238842975206611,0.006428374655647385
3,2001-01-25,0.008115702479338844,0.007247933884297521
4,2001-02-02,0.007256473829201103,0.00653801652892562
5,2001-02-10,0.008644903581267217,0.00775977961432507
6,2001-02-18,0.008634159779614325,0.007797796143250687
7,2001-02-26,0.008753994490358125,0.007896418732782368
8,2001-03-06,0.00867878787878788,0.0074123966942148765
9,2001-03-14,0.008287878787878789,0.007383471074380166
10,2001-03-22,0.009488980716253445,0.008367217630853995
11,2001-03-30,0.007380165289256199,0.006071625344352617
12,2001-04-07,0.008790358126721763,0.0069738292011019285
13,2001-04-15,0.010649586776859505,0.008925619834710744
14,2001-04-23,0.009753719008264465,0.008318732782369147
15,2001-05-01,0.007718457300275482,0.006279338842975208
16,2001-05-09,0.009569696969696971,0.008522038567493114
17,2001-05-17,0.0091702479338843,0.007498071625344354
18,2001-05-25,0.015207438016528926,0.013387052341597795
19,2001-06-02,0.009153994490358126,0.007399449035812674
20,2001-06-10,0.009717355371900827,0.008122314049586778
21,2001-06-18,0.011322314049586777,0.009977685950413224
22,2001-07-04,0.023653994490358127,0.020370523415977962
23,2001-07-12,0.02441460055096419,0.020828374655647384
24,2001-07-20,0.01732258953168044,0.014306887052341599
25,2001-07-28,0.024879063360881543,0.021232782369146004
26,2001-08-05,0.019375482093663913,0.016922865013774106
27,2001-08-13,0.024179063360881544,0.020843801652892565
28,2001-08-21,0.020540495867768595,0.017559228650137742
29,2001-08-29,0.024987878787878788,0.020718457300275484
30,2001-09-06,0.027236088154269974,0.022126170798898073
31,2001-09-14,0.03119641873278237,0.0267038567493113
32,2001-09-22,0.023239118457300274,0.02004903581267218
33,2001-09-30,0.020452892561983474,0.0174969696969697
34,2001-10-08,0.022455096418732785,0.019320936639118456
35,2001-10-16,0.017541873278236916,0.015106887052341597
36,2001-10-24,0.018204958677685953,0.016379338842975207
37,2001-11-01,0.013868319559228652,0.012728650137741049
38,2001-11-09,0.012108815426997245,0.010945454545454545
39,2001-11-17,0.009673002754820938,0.008561707988980717
40,2001-11-25,0.008815151515151514,0.007550413223140497
41,2001-12-03,0.007856473829201103,0.007030027548209368
42,2001-12-11,0.006450413223140496,0.0054592286501377405
43,2001-12-19,0.006960606060606061,0.005928099173553718
44,2001-12-27,0.00418870523415978,0.0037721763085399452
45,2002-01-01,0.006786225895316806,0.006110468319559228
46,2002-01-09,0.006431129476584021,0.005738842975206612
47,2002-01-17,0.00813388429752066,0.007302479338842974
48,2002-01-25,0.00819779614325069,0.007371900826446281
49,2002-02-02,0.008480440771349861,0.007652066115702479
50,2002-02-10,0.006612396694214876,0.0059853994490358135
51,2002-02-18,0.00917823691460055,0.008196969696969699
52,2002-02-26,0.00844159779614325,0.007791184573002754
53,2002-03-06,0.010648484848484848,0.00970055096418733
54,2002-03-14,0.009477685950413222,0.008080991735537191
55,2002-03-22,0.01166556473829201,0.010162809917355372
56,2002-03-30,0.009384022038567493,0.007824242424242425
57,2002-04-07,0.009659779614325069,0.00801542699724518
58,2002-04-15,0.010063636363636365,0.008605785123966942
59,2002-04-23,0.010111019283746556,0.008672451790633608
60,2002-05-01,0.009628099173553721,0.007880440771349863
61,2002-05-09,0.01145977961432507,0.009750413223140495
62,2002-05-17,0.011301101928374654,0.009684848484848484
63,2002-05-25,0.009276584022038568,0.007932506887052342
64,2002-06-02,0.008869146005509641,0.007524517906336089
65,2002-06-10,0.01316473829201102,0.011277134986225897
66,2002-06-18,0.012813774104683198,0.011114049586776864
67,2002-06-26,0.013469146005509643,0.01121046831955923
68,2002-07-04,0.01948292011019284,0.016636363636363637
69,2002-07-12,0.01099228650137741,0.009304683195592288
70,2002-07-20,0.02324820936639118,0.020309090909090912
71,2002-07-28,0.023228925619834712,0.019088154269972454
72,2002-08-05,0.03272837465564738,0.028125344352617085
73,2002-08-13,0.023819559228650138,0.020082920110192838
74,2002-08-21,0.026123415977961435,0.02278870523415978
75,2002-08-29,0.021802203856749313,0.018995316804407716
76,2002-09-06,0.014788980716253444,0.011986776859504132
77,2002-09-14,0.019970523415977964,0.016012396694214878
78,2002-09-22,0.03195922865013774,0.02750909090909091
79,2002-09-30,0.029330578512396697,0.025684848484848484
80,2002-10-08,0.024276308539944908,0.02107382920110193
81,2002-10-16,0.01699586776859504,0.01372038567493113
82,2002-10-24,0.016368319559228652,0.013802203856749311
83,2002-11-01,0.012241322314049589,0.010632506887052343
84,2002-11-09,0.015841046831955922,0.013673002754820937
85,2002-11-17,0.011275757575757576,0.01027548209366391
86,2002-11-25,0.007775482093663912,0.006589807162534436
87,2002-12-03,0.010327548209366391,0.009225068870523417
88,2002-12-11,0.0071702479338842965,0.006288429752066116
89,2002-12-19,0.008115977961432508,0.007202203856749313
90,2002-12-27,0.004184848484848485,0.0036622589531680443
91,2003-01-01,0.004847382920110193,0.004150964187327824
92,2003-01-09,0.006441046831955923,0.00582396694214876
93,2003-01-17,0.006422589531680441,0.0056
94,2003-01-25,0.00539779614325069,0.004791460055096419
95,2003-02-02,0.009290358126721764,0.008418732782369147
96,2003-02-10,0.010092011019283748,0.009169421487603305
97,2003-02-18,0.009587052341597794,0.008756749311294767
98,2003-02-26,0.008901377410468321,0.007916253443526172
99,2003-03-06,0.009101652892561984,0.007971625344352619
100,2003-03-14,0.007887603305785123,0.007124517906336088
101,2003-03-22,0.008689531680440772,0.0074909090909090915
